07-17,0.2,0.6,0.35,0.85
07-19,0.35,0.2,0.85,0.6
07-21,0.6,0.35,0.85,0.2
07-22,0.85,0.6,0.35,0.2
08-02,0.85,0.2,0.6,0.35
08-05,0.2,0.35,0.6,0.85
08-08,0.35,0.2,0.6,0.85
08-09,0.2,0.6,0.85,0.35
08-11,0.2,0.85,0.6,0.35
08-15,0.85,0.6,0.35,0.2
08-16,0.2,0.35,0.6,0.85
08-18,0.85,0.2,0.35,0.6
08-20,0.85,0.6,0.2,0.35
08-22,0.85,0.2,0.35,0.6
09-03,0.6,0.2,0.85,0.35
09-04,0.35,0.6,0.2,0.85
09-06,0.2,0.6,0.85,0.35
09-09,0.85,0.35,0.2,0.6
09-12,0.85,0.6,0.2,0.35
09-13,0.2,0.6,0.85,0.35
09-16,0.6,0.2,0.85,0.35
09-17,0.6,0.85,0.2,0.35
09-19,0.6,0.85,0.2,0.35
09-21,0.35,0.2,0.6,0.85
10-03,0.6,0.2,0.35,0.85
10-06,0.6,0.35,0.85,0.2
10-09,0.85,0.2,0.35,0.6
10-12,0.35,0.2,0.85,0.6
10-13,0.6,0.35,0.85,0.2
10-16,0.2,0.6,0.35,0.85
10-19,0.85,0.6,0.35,0.2
10-22,0.2,0.35,0.85,0.6
10-23,0.35,0.6,0.85,0.2
10-24,0.35,0.2,0.6,0.85
J03-01,0.35,0.45,0.55,0.65
J03-02,0.55,0.35,0.45,0.65
J03-03,0.55,0.65,0.45,0.35
J03-04,0.45,0.35,0.65,0.55
J03-05,0.55,0.45,0.35,0.65
J03-06,0.65,0.55,0.35,0.45
J03-07,0.65,0.55,0.45,0.35
J03-08,0.35,0.55,0.65,0.45
J03-09,0.45,0.65,0.35,0.55
J03-10,0.45,0.35,0.65,0.55
J04-01,0.45,0.35,0.55,0.65
J04-02,0.65,0.55,0.35,0.45
J04-03,0.65,0.35,0.45,0.55
J04-04,0.35,0.55,0.45,0.65
J04-05,0.45,0.55,0.35,0.65
J04-06,0.55,0.65,0.45,0.35
J04-07,0.35,0.65,0.55,0.45
J04-08,0.65,0.35,0.55,0.45
J04-09,0.55,0.66,0.35,0.45
J04-10,0.55,0.36,0.65,0.45
J05-01,0.6,0.75,0.25,0.4
J05-02,0.75,0.4,0.25,0.6
J05-03,0.75,0.25,0.6,0.4
J05-04,0.25,0.75,0.6,0.4
J05-05,0.6,0.25,0.75,0.4
J05-06,0.25,0.40,0.60,0.75
J05-07,0.25,0.75,0.6,0.4
J05-08,0.4,0.6,0.75,0.25
J05-09,0.4,0.6,0.75,0.25
J05-10,0.6,0.4,0.25,0.75
J06-01,0.25,0.4,0.75,0.6
J06-02,0.6,0.25,0.75,0.4
J06-03,0.25,0.4,0.75,0.6
J06-04,0.6,0.25,0.75,0.4
J06-05,0.25,0.75,0.6,0.4
J06-06,0.25,0.6,0.4,0.75
J06-07,0.75,0.4,0.6,0.25
J06-08,0.75,0.25,0.6,0.4
J06-09,0.75,0.6,0.25,0.4
J06-10,0.4,0.25,0.75,0.6
J07-01,0.35,0.6,0.2,0.85
J07-02,0.2,0.35,0.6,0.85
J07-03,0.35,0.85,0.6,0.2
J07-04,0.6,0.85,0.35,0.2
J07-05,0.6,0.35,0.2,0.85
J07-06,0.85,0.2,0.6,0.35
J07-07,0.85,0.2,0.6,0.35
J07-08,0.85,0.6,0.35,0.2
J07-09,0.85,0.35,0.2,0.6
J07-10,0.35,0.85,0.2,0.6
J08-01,0.85,0.2,0.6,0.35
J08-02,0.2,0.35,0.85,0.6
J08-03,0.2,0.6,0.35,0.85
J08-04,0.60,0.35,0.20,0.85
J08-05,0.35,0.85,0.2,0.6
J08-06,0.35,0.6,0.2,0.85
J08-07,0.2,0.35,0.6,0.85
J08-08,0.35,0.2,0.6,0.85
J08-09,0.85,0.35,0.6,0.2
J08-10,0.85,0.35,0.2,0.6
J09-01,0.6,0.3,0.9,0.2
J09-02,0.3,0.6,0.9,0.2
J09-03,0.9,0.3,0.2,0.6
J09-04,0.9,0.6,0.3,0.2
J09-05,0.6,0.3,0.2,0.9
J09-06,0.6,0.9,0.2,0.3
J09-07,0.3,0.2,0.6,0.9
J09-08,0.2,0.6,0.3,0.9
J09-09,0.6,0.3,0.2,0.9
J09-10,0.6,0.3,0.2,0.9
J10-01,0.2,0.3,0.9,0.6
J10-02,0.6,0.9,0.2,0.3
J10-03,0.6,0.3,0.2,0.9
J10-04,0.2,0.3,0.6,0.9
J10-05,0.2,0.3,0.9,0.6
J10-06,0.6,0.3,0.9,0.2
J10-07,0.2,0.9,0.3,0.6
J10-08,0.2,0.6,0.9,0.3
J10-09,0.9,0.3,0.6,0.2
J10-10,0.6,0.3,0.9,0.2
爱情的味道,11.3,10.3,9.6,12
悲惨人生,12,11.3,10.3,9.6
公路冒险,10.3,9.6,12,11.3
惊悚记,10.3,11.3,12,9.6
科幻契约,12,9.6,11.3,10.3
恐怖日记,11.3,9.6,12,10.3
西部边境,10.3,12,11.3,9.6
喜剧大师,9.6,10.3,11.3,12
悬念时刻,9.6,11.3,10.3,12
战争年代,9.6,12,10.3,11.3
